0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-523.0431518999999,158.8217926,-25.39234543,-10.8271265,0.903796554,-13.62164021,-7.612724781,-11.51178932,-7.920572758,-5.392961502,-5.519845009,2.4713859559999998,1.395303011,1.737208962,2.919654608,-5.187167645,-7.0498552320000005,-4.586880207,-4.365153313,-1.960806966,-1.127686381,-3.2356393339999996,-2.6403963569999997,0.579281151,1.126962781,-1.3710381980000002,-2.559681892,-2.696240664,-2.78437233,-2.229508877,-3.8026382919999997,-5.075349808,-3.35194397,-2.252266407,-2.264103651,-0.205205962,2.38645792,1.2510735990000001,-1.241810799,-2.657024622,1
-210.38423160000002,154.1520233,-14.66955853,37.27717209,-20.25296211,19.44645309,-12.87738514,-5.1175789830000005,1.16039896,-9.484177589,-0.036385387000000005,-2.096060514,8.199056625,-3.8752715589999998,5.19410181,-3.5669112210000002,-5.174105644,2.052661896,-2.422182798,-2.846430779,-1.29166007,0.8371720309999999,-7.105525017000001,-1.5538506509999999,-1.926332355,-1.933856487,-1.7963657380000002,-4.291510105,0.753127873,0.366878957,-0.825745046,-1.745699167,-2.168669701,-1.688045025,-1.056630015,-0.6742124559999999,4.699721813,6.079679489,4.208702564,0.554796278,1
-146.043045,158.911087,-26.96734047,45.59989548,-31.95865822,12.49377728,-13.32590103,4.897992134,3.20306778,-3.1573627,-7.765960217000001,4.883800507,13.39391518,-6.60779047,9.328901291000001,-4.703517914,-3.288414001,-2.000321865,5.670660496,-2.217075109,-0.26420879399999997,5.551465511,-10.50382137,-1.927167773,1.536382318,-1.283163428,1.0397460459999999,4.768287182,8.936172485,11.44423485,0.886226237,4.247860909,-0.01734806,-2.90623045,2.023244858,0.954142988,6.8602967260000005,1.862322211,1.336940169,-1.638282299,1
-141.45079040000002,131.5287018,-35.37372971,55.88313293,-36.75212479,29.07201385,-22.94817352,2.745144844,-7.251487732,-6.9061169620000005,-6.249499321,0.025739191,10.12615967,-10.08271694,9.470664024,-10.21020794,-1.6142277719999998,-3.350275517,2.175207376,-6.4200787539999995,-2.670036554,-1.208154559,-8.982172966,5.634795189,-1.9322605130000001,0.062298935,-2.058193445,1.730386019,-2.3160560130000003,0.17341978800000002,3.82099247,2.551800251,0.77469331,1.88956809,1.208636999,0.001879192,6.365206718,3.356842279,8.286738396,2.098156452,1
-149.3111572,124.86575320000001,-18.23369598,58.49832153,-17.80996513,38.24302292,-17.24075508,-2.344484091,-3.834203005,-4.231814861,-4.312948704,-5.513463497,11.10757351,-8.550046921,9.196636199999999,-8.366412163,-1.3534612659999998,2.342513084,-4.066941261,-0.347977042,-1.180581331,0.310296685,-5.106710434,1.189442873,-4.216047287,-6.665960312,-3.3337173460000002,-2.747114182,-3.4445741180000002,-3.2272543910000002,-0.76212728,-2.001901865,-4.442867279,0.455114484,-2.315012455,-0.302067727,1.404858828,0.265607685,5.679805756,3.389134645,1
-134.0673065,127.04514309999999,-21.0724926,69.7483902,-13.14907265,41.82107925,-15.29998016,-0.41683888399999997,3.539677143,-0.457864076,-2.047298908,-4.276079655,16.16302299,-6.655145645,10.86038685,-6.674372673,0.319704831,6.774383545,-2.7423377039999997,2.408721924,0.9064853190000001,2.425568581,-5.794998168999999,2.430783749,-2.654440165,-5.9989547729999995,-1.73420167,-1.4343819619999998,1.086784005,-0.825765431,2.157567024,-0.14763549,-2.475987911,0.655908287,-1.548916221,-0.333001047,-0.5929025410000001,-0.152741328,1.7988896369999998,2.193438768,1
-95.17108917,124.4310074,-41.316238399999996,61.80602264,-28.44859314,36.49044037,-18.91051483,11.00794315,2.101433277,0.641423881,0.17435585,4.4807004930000005,19.08551216,-7.3021979329999995,12.56855297,-8.365447044,2.581140995,2.658354282,-3.6072912219999997,-4.763445377,0.579230547,-0.24390772,-7.164612292999999,6.7721982,-0.13183102,0.37484079600000003,2.493031025,7.706353188,8.108634948999999,5.7497615810000005,-0.736596227,0.174235985,-2.9803638460000004,-6.2286725039999995,-2.7436215880000003,-2.279782534,-0.070548221,-3.9658668039999996,1.86070478,-2.223338842,1
-145.76049799999998,128.8483582,-34.22705078,50.56697083,-18.70697594,28.21805191,-13.34588909,2.058640718,6.005840302,0.625329971,2.603126287,1.880516052,11.14440823,-1.155834317,5.781805038,-7.851219177000001,-0.28375569,-0.63059634,0.011263357,-0.40666505700000005,0.48062831200000006,-3.1208815569999997,-5.061468124,6.430042267,-0.10822796800000001,2.188658476,3.04689765,1.5542964940000001,-3.236027956,0.49485001,-0.744622529,-0.16349619599999998,2.207553148,-3.2679061889999996,-2.121768475,-1.0366758109999998,5.007023335,4.22380352,4.169337748999999,-3.2566337589999996,1
-138.7746582,136.6912994,-36.91639328,43.93745422,-23.51431465,20.14377594,-17.51616859,4.09828186,-0.148529783,-2.604573011,5.5801477429999995,-3.357699394,7.5888667110000005,-6.146897793,-1.9198889730000002,-11.19711685,-4.699096203,-2.573613167,-1.868145943,-2.26249218,0.703866422,0.053764552,-4.228581429,1.380766749,0.5972044470000001,3.1728093619999997,2.325975418,3.064341545,-1.975132942,2.056713343,-1.822338581,-2.191337824,1.6494816540000001,-5.593181133,-3.956846952,-0.252133906,4.886237144,5.3236517910000005,4.291908741,-2.4262228009999998,1
-121.16773219999999,135.9864197,-47.49359512,34.42345047,-25.80963898,14.59566116,-26.69614601,-6.595517159,-17.22665596,-10.7947607,-11.34072971,-11.77985764,0.899112225,-12.16250706,-2.1478707790000002,-14.19382954,-1.589021802,-9.597211838,-5.443144798,-9.839632988,-6.704794884,0.534303844,-6.683965206,2.977480888,2.9357933999999997,3.197396755,0.225502476,5.661519527,-3.336207628,1.9463280440000001,1.229880452,-2.380666256,2.5128853319999997,-6.666693687,-4.357154846,-1.8118619919999999,-1.252040744,-0.444666564,2.123177052,-4.593429089,1
